name,family,gf_type,incoming_velocity,outgoing_velocity,angle
dm_fail_walk_1_1_walk_bendBack_000_2,cutscene,special,dribble,dribble,000
dm_fail_walk_1_1_walk_bendBack_000_3,cutscene,special,dribble,dribble,000
dm_goal_Corner_Flag01,celebration,special,,,
dm_goal_Fall_Down01,celebration,special,,,
dm_goal_Head_sliding01,celebration,special,,,
dm_goal_Head_sliding01_loop,celebration,special,,,
dm_goal_Knee_slide01,celebration,special,,,
dm_goal_Knee_slide01_loop,celebration,special,,,
dm_goal_Naked_run_loop,celebration,special,,,
dm_goal_Sliding01,celebration,special,,,
dm_goal_Sliding01_loop,celebration,special,,,
dm_goal_Wide_sliding01,celebration,special,,,
dm_goal_Wide_sliding01_loop,celebration,special,,,
dm_goal_allfours_0_3_run_guts_045,celebration,special,idle,sprint,045
dm_goal_allfours_0_3_run_guts_135,celebration,special,idle,sprint,135
dm_goal_archer,celebration,special,,,
dm_goal_archer_loop,celebration,special,,,
dm_goal_facedown_0_3_run_guts_045,celebration,special,idle,sprint,045
dm_goal_facedown_0_3_run_guts_135,celebration,special,idle,sprint,135
dm_goal_faceup_0_3_run_guts_045,celebration,special,idle,sprint,045
dm_goal_faceup_0_3_run_guts_135,celebration,special,idle,sprint,135
dm_goal_idle_0_4_dash_025,celebration,special,idle,sprint,025
dm_goal_idle_0_4_dash_crawl_090,celebration,special,idle,sprint,090
dm_goal_idle_0_4_dash_crawl_135,celebration,special,idle,sprint,135
dm_goal_ivoryCoastDance,celebration,special,,,
dm_goal_ivoryCoastDance_loop,celebration,special,,,
dm_goal_jog_2_3_run_090,celebration,special,walk,sprint,090
dm_goal_jog_2_4_dashAirplane_045,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dashAirplane_135,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dashComeOn_045,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dashComeOn_135,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dashGuts_000,celebration,special,walk,sprint,000
dm_goal_jog_2_4_dashGuts_045,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dashGuts_135,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dashHandup_000,celebration,special,walk,sprint,000
dm_goal_jog_2_4_dashHandup_045,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dashHandup_135,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dashHyper_045,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dashHyper_045_2,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dashHyper_135,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dashHyper_135_2,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dashPointing_045_at_090,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dashPointing_045_at_f090,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dashPointing_135_at_090,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dashPointing_135_at_f090,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dashPowerShot_135,celebration,special,walk,sprint,135
dm_goal_jog_2_4_dash_045,celebration,special,walk,sprint,045
dm_goal_jog_2_4_dash_crawl_090,celebration,special,walk,sprint,090
dm_goal_recorder,celebration,special,,,
dm_goal_recorder_loop,celebration,special,,,
dm_hugSet_CrowdedFall,cutscene,special,,,
dm_hugSet_Naked_interactive,cutscene,special,,,
dm_hugSet_overBoard00,cutscene,special,,,
dm_injury_allfours_endure_Rside_Rknee,cutscene,special,,,
dm_injury_comeback,cutscene,special,,,
dm_injury_comeback_sit_loop_01,cutscene,special,,,
dm_injury_endureLoop_Rknee,cutscene,special,,,
dm_injury_endureLoop_Rside_Rknee,cutscene,special,,,
dm_injury_facedown_endure_Rside_Rknee,cutscene,special,,,
dm_injury_faceup_endure_Rknee,cutscene,special,,,
dm_injury_rise_Rknee,cutscene,special,,,
dm_injury_rise_Rside_Rknee,cutscene,special,,,
dm_injury_tumbleLoop_Rknee,cutscene,special,,,
dm_layer_banzai_low,cutscene,special,,,
dm_layer_call_one,cutscene,special,,,
dm_layer_clap_high,cutscene,special,,,
dm_layer_clap_low,cutscene,special,,,
dm_layer_complain,cutscene,special,,,
dm_layer_ear_both,cutscene,special,,,
dm_layer_free_BackCheck,cutscene,special,,,
dm_layer_free_BackLineInstruct_Bothhand,cutscene,special,,,
dm_layer_free_BackLineInstruct_Onehand,cutscene,special,,,
dm_layer_free_HandBalance,cutscene,special,,,
dm_layer_free_HandMove,cutscene,special,,,
dm_layer_gk_PK_Rhand_l,cutscene,special,,,
dm_layer_gk_PK_Rhand_r,cutscene,special,,,
dm_layer_gk_block_chesthead,cutscene,special,,,
dm_layer_gk_block_chesthead_hard,cutscene,special,,,
dm_layer_gk_block_handOpenSmall,cutscene,special,,,
dm_layer_gk_block_handOpenWide,cutscene,special,,,
dm_layer_gk_block_handShrink,cutscene,special,,,
dm_layer_gk_cheer_clap,cutscene,special,,,
dm_layer_gk_cheer_clap2,cutscene,special,,,
dm_layer_gk_cheer_clap3,cutscene,special,,,
dm_layer_gk_free_catchAround,cutscene,special,,,
dm_layer_gk_free_catchAround2,cutscene,special,,,
dm_layer_gk_free_catchOk,cutscene,special,,,
dm_layer_gk_free_come,cutscene,special,,,
dm_layer_gk_free_downhand,cutscene,special,,,
dm_layer_gk_free_drop,cutscene,special,,,
dm_layer_gk_free_glove,cutscene,special,,,
dm_layer_gk_free_lookpost,cutscene,special,,,
dm_layer_gk_free_mouth,cutscene,special,,,
dm_layer_gk_free_relux,cutscene,special,,,
dm_layer_gk_free_relux2,cutscene,special,,,
dm_layer_gk_free_relux3,cutscene,special,,,
dm_layer_gk_free_relux4,cutscene,special,,,
dm_layer_gk_free_thrashHand,cutscene,special,,,
dm_layer_gk_free_touchNose,cutscene,special,,,
dm_layer_gk_free_touchPants,cutscene,special,,,
dm_layer_gk_free_uphand,cutscene,special,,,
dm_layer_gk_instruct_armR_front,cutscene,special,,,
dm_layer_gk_instruct_armR_side,cutscene,special,,,
dm_layer_gk_peek_upperbodyDown,cutscene,special,,,
dm_layer_gk_peek_upperbodySide,cutscene,special,,,
dm_layer_gk_peek_upperbody_loop,cutscene,special,,,
dm_layer_gk_run_Onehandup,cutscene,special,,,
dm_layer_gk_run_handOpen,cutscene,special,,,
dm_layer_gk_setplay_wait,cutscene,special,,,
dm_layer_gk_setplay_wait2,cutscene,special,,,
dm_layer_gk_setplay_wait3,cutscene,special,,,
dm_layer_gk_swapBall,cutscene,special,,,
dm_layer_gk_wave_inside_armR_loop,cutscene,special,,,
dm_layer_gk_wave_outside_armR_loop,cutscene,special,,,
dm_layer_gutsR_middle,cutscene,special,,,
dm_layer_gutsR_middle_loop,cutscene,special,,,
dm_layer_guts_high_loop,cutscene,special,,,
dm_layer_guts_low_loop,cutscene,special,,,
dm_layer_guts_one,cutscene,special,,,
dm_layer_handupR_high,cutscene,special,,,
dm_layer_handupR_low,cutscene,special,,,
dm_layer_hit_chest_one,cutscene,special,,,
dm_layer_hush_one,cutscene,special,,,
dm_layer_incite_both,cutscene,special,,,
dm_layer_miss_armR_loop,cutscene,special,,,
dm_layer_miss_armR_sorry,cutscene,special,,,
dm_layer_miss_upperbody_mortifying,cutscene,special,,,
dm_layer_plane_both,cutscene,special,,,
dm_layer_thumbsup,cutscene,special,,,
dm_miss_allfours_0_1_135,dejection,special,idle,dribble,135
dm_miss_back_1_1_walk_angry_135,dejection,special,dribble,dribble,135
dm_miss_back_1_1_walk_bendBack_135,dejection,special,dribble,dribble,135
dm_miss_back_1_1_walk_droop_135,dejection,special,dribble,dribble,135
dm_miss_back_1_1_walk_face_135,dejection,special,dribble,dribble,135
dm_miss_back_1_1_walk_head_f045,dejection,special,dribble,dribble,045
dm_miss_back_3_1_walk_head_180,dejection,special,sprint,dribble,180
dm_miss_facedown_0_1_135,dejection,special,idle,dribble,135
dm_miss_facedown_0_1_135_2,dejection,special,idle,dribble,135
dm_miss_facedown_0_1_135_3,dejection,special,idle,dribble,135
dm_miss_facedown_0_1_walk,dejection,special,idle,dribble,
dm_miss_faceup_0_0_idle_droop_045,dejection,special,idle,idle,045
dm_miss_faceup_0_0_idle_droop_090,dejection,special,idle,idle,090
dm_miss_idle_0_0_HandOnKnee,dejection,special,idle,idle,
dm_miss_idle_0_0_allfours,dejection,special,idle,idle,
dm_miss_idle_0_0_faceup,dejection,special,idle,idle,
dm_miss_idle_0_0_idle_hip,dejection,special,idle,idle,
dm_miss_idle_0_0_sitHip,dejection,special,idle,idle,
dm_miss_idle_0_1_walk_angry_045,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_angry_045_2,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_angry_045_3,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_angry_135,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_angry_135_2,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_angry_135_3,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_angry_135_4,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_angry_135_5,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_bendBack_045,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_bendBack_045_2,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_bendBack_090,dejection,special,idle,dribble,090
dm_miss_idle_0_1_walk_bendBack_090_2,dejection,special,idle,dribble,090
dm_miss_idle_0_1_walk_bendBack_135,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_bendBack_135_2,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_droop_045,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_droop_045_2,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_droop_090,dejection,special,idle,dribble,090
dm_miss_idle_0_1_walk_droop_090_2,dejection,special,idle,dribble,090
dm_miss_idle_0_1_walk_droop_135,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_droop_135_2,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_droop_135_3,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_face_045,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_face_090,dejection,special,idle,dribble,090
dm_miss_idle_0_1_walk_face_135,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_head_045,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_head_090,dejection,special,idle,dribble,090
dm_miss_idle_0_1_walk_head_135,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_head_135_2,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_hip_045,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_hip_045_2,dejection,special,idle,dribble,045
dm_miss_idle_0_1_walk_hip_090,dejection,special,idle,dribble,090
dm_miss_idle_0_1_walk_hip_090_2,dejection,special,idle,dribble,090
dm_miss_idle_0_1_walk_hip_135,dejection,special,idle,dribble,135
dm_miss_idle_0_1_walk_hip_135_2,dejection,special,idle,dribble,135
dm_miss_idle_0_2_walk_bendBack_135,dejection,special,idle,walk,135
dm_miss_idle_0_2_walk_droop_135,dejection,special,idle,walk,135
dm_miss_idle_0_2_walk_droop_135_2,dejection,special,idle,walk,135
dm_miss_idle_0_2_walk_face_135,dejection,special,idle,walk,135
dm_miss_jog_2_1_walk_openArm_045,dejection,special,walk,dribble,045
dm_miss_jog_2_1_walk_openArm_135,dejection,special,walk,dribble,135
dm_miss_runDroop_3_1_walk_045,dejection,special,sprint,dribble,045
dm_miss_runDroop_3_1_walk_090,dejection,special,sprint,dribble,090
dm_miss_runDroop_3_1_walk_090_2,dejection,special,sprint,dribble,090
dm_miss_runDroop_3_1_walk_135,dejection,special,sprint,dribble,135
dm_miss_runFace_3_1_walk_045,dejection,special,sprint,dribble,045
dm_miss_runFace_3_1_walk_090,dejection,special,sprint,dribble,090
dm_miss_runFace_3_1_walk_135,dejection,special,sprint,dribble,135
dm_miss_runHead_3_1_walk_045,dejection,special,sprint,dribble,045
dm_miss_runHead_3_1_walk_090,dejection,special,sprint,dribble,090
dm_miss_runHead_3_1_walk_135,dejection,special,sprint,dribble,135
dm_miss_runHip_3_1_walk_045,dejection,special,sprint,dribble,045
dm_miss_runHip_3_1_walk_090,dejection,special,sprint,dribble,090
dm_miss_runHip_3_1_walk_090_2,dejection,special,sprint,dribble,090
dm_miss_runHip_3_1_walk_135,dejection,special,sprint,dribble,135
dm_miss_run_0_1_walk_oops_000,dejection,special,idle,dribble,000
dm_miss_run_3_0_HandOnKnee,dejection,special,sprint,idle,
dm_miss_run_3_0_allfours,dejection,special,sprint,idle,
dm_miss_run_3_0_allfours_135,dejection,special,sprint,idle,135
dm_miss_run_3_0_faceup,dejection,special,sprint,idle,
dm_miss_run_3_0_sitHip,dejection,special,sprint,idle,
dm_miss_run_3_1_walk_angry_045,dejection,special,sprint,dribble,045
dm_miss_run_3_1_walk_angry_135,dejection,special,sprint,dribble,135
dm_miss_run_3_1_walk_angry_135_2,dejection,special,sprint,dribble,135
dm_miss_run_3_1_walk_angry_135_3,dejection,special,sprint,dribble,135
dm_miss_run_3_1_walk_bendBack_045,dejection,special,sprint,dribble,045
dm_miss_run_3_1_walk_bendBack_045_2,dejection,special,sprint,dribble,045
dm_miss_run_3_1_walk_bendBack_090,dejection,special,sprint,dribble,090
dm_miss_run_3_1_walk_bendBack_135,dejection,special,sprint,dribble,135
dm_miss_run_3_1_walk_bendBack_135_2,dejection,special,sprint,dribble,135
dm_miss_run_3_1_walk_oops_000,dejection,special,sprint,dribble,000
dm_miss_run_3_1_walk_punchR_045,dejection,special,sprint,dribble,045
dm_miss_run_4_1_walk_lineout_090,dejection,special,sprint,dribble,090
dm_miss_run_4_1_walk_lineout_135,dejection,special,sprint,dribble,135
dm_miss_sidestep_1_1_walk_angry_090,dejection,special,dribble,dribble,090
dm_miss_sidestep_1_1_walk_bendBack_090,dejection,special,dribble,dribble,090
dm_miss_sidestep_1_1_walk_droop_090,dejection,special,dribble,dribble,090
dm_miss_sidestep_1_1_walk_face_090,dejection,special,dribble,dribble,090
dm_miss_sidestep_3_1_walk_head_f090,dejection,special,sprint,dribble,090
dm_move_backShort_1_0_idle,cutscene,special,dribble,idle,
dm_move_backShort_3_0_idle,cutscene,special,sprint,idle,
dm_move_runShort_3_1_walk,cutscene,special,sprint,dribble,
dm_move_runShort_3_1_walk_135,cutscene,special,sprint,dribble,135
dm_move_runStop_3_1_walk_045_step,cutscene,special,sprint,dribble,045
dm_move_runStop_3_1_walk_135_2,cutscene,special,sprint,dribble,135
dm_move_runStop_3_1_walk_135_face,cutscene,special,sprint,dribble,135
dm_move_runStop_3_1_walk_135_head,cutscene,special,sprint,dribble,135
dm_move_runStop_3_1_walk_135_look,cutscene,special,sprint,dribble,135
dm_move_runStop_3_1_walk_135_step,cutscene,special,sprint,dribble,135
dm_move_runStop_3_1_walk_135_sweat,cutscene,special,sprint,dribble,135
dm_move_runStop_3_1_walk_180_turn,cutscene,special,sprint,dribble,180
dm_move_sideShort_1_0_idle,cutscene,special,dribble,idle,
dm_move_sideShort_3_0_idle,cutscene,special,sprint,idle,
dm_oop_allfours_0_0_idle_protest_045,cutscene,special,idle,idle,045
dm_oop_allfours_0_0_idle_protest_090,cutscene,special,idle,idle,090
dm_oop_allfours_0_0_idle_protest_135,cutscene,special,idle,idle,135
dm_oop_allfours_0_0_idle_protest_135_hard,cutscene,special,idle,idle,135
dm_oop_facedown_0_0_idle_protest_045,cutscene,special,idle,idle,045
dm_oop_facedown_0_0_idle_protest_090,cutscene,special,idle,idle,090
dm_oop_facedown_0_0_idle_protest_135,cutscene,special,idle,idle,135
dm_oop_facedown_0_0_idle_protest_135_hard,cutscene,special,idle,idle,135
dm_oop_facedown_0_1_angry_000,cutscene,special,idle,dribble,000
dm_oop_faceup_0_0_idle_appeal_nofoul_045,cutscene,special,idle,idle,045
dm_oop_faceup_0_0_idle_appeal_nofoul_135,cutscene,special,idle,idle,135
dm_oop_faceup_0_0_idle_appeal_notouch_045,cutscene,special,idle,idle,045
dm_oop_faceup_0_0_idle_appeal_notouch_135,cutscene,special,idle,idle,135
dm_oop_faceup_0_0_idle_protest_045,cutscene,special,idle,idle,045
dm_oop_faceup_0_0_idle_protest_090,cutscene,special,idle,idle,090
dm_oop_faceup_0_0_idle_protest_135,cutscene,special,idle,idle,135
dm_oop_faceup_0_0_idle_protest_135_hard,cutscene,special,idle,idle,135
dm_oop_gk_deflect_net_s03_3_0,cutscene,special,sprint,idle,
dm_oop_gk_idle_0_0_idle_cheer_03,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_droop,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_droop_02,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_guts,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_guts_02,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_guts_04,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_guts_05,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_guts_06,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_guts_07,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_mortfying_04,cutscene,special,idle,idle,
dm_oop_gk_idle_0_0_idle_mortfying_05,cutscene,special,idle,idle,
